,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
Ipc,0.025009384025022865,0.0220286445810412,0.0495642439995302,-0.001453676740747277,0.06251206321870786,-0.02944872127738707,0.019003779200826784,-0.04458352236157398,0.11928419671420348,0.17220286194051707,0.16530669492956726,0.09625927794303271,-0.13364725053549797,0.12626462518612816,0.20124501893820776,0.5235866016568083,0.6107137380876719,-0.05239929534222306,0.023158765757565744,-0.09736041918295718
HallKierAlpha,-0.07263225585341218,-0.07793760005612971,-0.0884982251686993,-0.19109710824028367,0.01795148242334744,0.23275269674450494,0.09204940639863801,-0.06808805999175804,0.004847487161397733,-0.1343367194749986,0.03169541335341178,0.0013054162336754993,-0.11120961259417816,-0.009037650441939993,-0.08167663690236998,-0.07235408633070152,0.09935503769577209,-0.013730487980893522,-0.09706056899867746,-0.012172445169029374
NumValenceElectrons,0.17284750106237484,0.005570631867123897,0.002873637130858422,0.025400554035292087,0.02501405867498522,0.003636782723712595,-0.01803414672118052,-0.017818249471786007,0.022014974036154933,0.007111795177612568,0.01150655444331175,-0.0022138929056886025,0.0017231440019389102,-0.007154309528673755,0.002010884591940043,-0.00562895218340017,-0.011687341224505807,-0.0022161989333636944,0.02978520771421949,-0.020133971535754552
SaturatedRings,0.06703920007298718,-0.12643292590040486,-0.030171235498552156,-0.24184733323467492,0.05600539968149629,-0.07243973167283799,-0.032696405292906516,-0.0559407135278181,-0.15159684260930884,-0.0367485596861932,-0.18097786366339177,0.002839190830934535,0.0614624158362217,0.010490980970082914,0.05198465455881458,0.07100912255892682,0.01972704844201642,0.08651433698121476,0.014694787751614589,0.010452740389001625
AliphaticRings,0.09603365172678975,-0.10653659586775578,-0.09386328915271565,-0.20663876986138754,0.040851059993172484,-0.00045040415620207705,0.014807332890469808,-0.008741090114663008,-0.14685602673121134,-0.03408768009858208,-0.19426028054858804,-0.008598111082919524,0.05017484783811575,0.02844274121903223,0.06988841226706882,0.05074970602273343,0.05862629284072421,0.01752944015884972,-0.003387157501069367,0.02994525084992941
AromaticRings,0.058831637799173504,0.04961884180561937,-0.12119600484000238,0.20951808839000918,-0.15332963792994939,-0.1481225676928585,-0.09118719035817038,0.1511857935326742,0.06366744990148032,0.04240890328292077,0.02115164439702012,0.012898628282784111,0.010400287327674,0.039044431330037876,-0.02262495671163469,0.008646124959895952,-0.015611513457369684,-0.029283094308493227,-0.09736892654637425,0.036672111717304945
FpDensityMorgan1,-0.09934135451905321,-0.16375343956316593,-0.02162357869510678,-0.04906719766773751,-0.013006847668532258,-0.10543757126468356,0.14014455637427028,0.06936681782871604,0.2304020563398884,-0.04635775524221261,0.01580970020695901,-0.05863813229671366,0.027839937902832526,-0.09624731658703056,0.009883768682999616,-0.032600214810342136,0.06493487960267014,0.0659113972593565,-0.042466213635758976,-0.07108185289811603
FpDensityMorgan2,-0.08491989540545285,-0.14495599945115595,-0.086382115892582,-0.02662120258839296,-0.014525595016063913,-0.16134736266579033,0.15958497115436815,0.12913319548492697,0.22594110248600013,-0.06158709377629993,0.0478322660917731,-0.07759961225013101,0.05010748201959215,-0.12155720643257589,0.0010729223380074593,0.01832372900697396,0.035500579629330536,0.07347399842551272,0.0012064572850524653,-0.05878471754006054
FpDensityMorgan3,-0.06759302368818146,-0.10085933016410435,-0.14466442400874668,-0.003087870261115285,-0.01979575913260882,-0.18143134218808174,0.17110773315757918,0.19116730316039798,0.1528534991559937,-0.0630840929776918,0.06208658713517312,-0.09608410561618427,0.06151365348478162,-0.12290659416865857,0.028670989561619176,0.08251871122466249,0.012123453147437915,0.07306030087035668,0.03674925277560157,-0.013276357775068248
MaxAbsPartialCharge,0.03721436379759502,-0.081454491819899,0.038838615359782044,0.219563080388427,0.1156141874865163,-0.11266074601761486,0.12093009025141031,0.00791781592482329,-0.15503998185695464,-0.19139340068819727,-0.035029135881795515,-0.07441442858391077,-0.14405685371785062,-0.06162409958136797,-0.07143181388790548,-0.031163440999534827,0.14589567825128677,-0.14956998599265697,0.005710536078967425,-0.0016472317209769716
MaxPartialCharge,0.048029421974272526,-0.14824771113249727,0.07762167091523668,0.21861791201606623,0.05109088774380785,0.12312468235795608,-0.005987137016571246,0.007432248130377358,0.042447109081174314,-0.17544834277630778,-0.06258208276073784,0.03186193166232425,0.08281180788715098,-0.028957056548482296,0.09614253078334782,0.06780178712999427,-0.0017309516367098876,0.15881898535881278,-0.07185400035035729,0.09912397558652865
MinAbsPartialCharge,0.054383025662568786,-0.13122796672725057,0.07408485501572323,0.22505410855439653,0.0723551450390733,0.044990002794786536,0.04198580051209495,0.02286196040596319,0.02023499328990648,-0.18719864425913413,-0.049607720104242525,0.024881844990287748,0.08305084269137095,-0.07702331944447033,0.12432797853742375,0.05156795265304802,0.009803081015064108,0.17469244881103702,-0.10147225697146517,0.11263603815552425
MinPartialCharge,-0.03508913020070309,0.034810704816225634,-0.020867271224785138,-0.18066393578306422,-0.12511996744030532,0.21345832630973596,-0.16925417003444657,-0.024117896341783397,0.17673885509867784,0.16678097509252857,0.008615909463403792,0.08226151514571105,0.1464694848859766,0.1088245109927832,0.04829518446784342,0.05777236811983533,-0.1499171620850046,0.14469537380771014,0.018333137402860994,0.00044210501064706476
BalabanJ,-0.10267874434485665,0.017063341494507268,0.14310969381607666,0.028303966846489143,0.010429214883814509,0.13483573758553535,0.025414943248929643,-0.1302707385376164,0.15768980151599796,0.01266459779665742,0.24413993829944536,0.05343547151182475,-0.018964466790349743,-0.023981332894294903,-0.08040551019954352,-0.09904193936057021,-0.013266878060983422,-0.10005677881390368,0.03373183347842641,-0.052759721919378166
BertzCT,0.15542579848189603,-0.020971288078099108,-0.03750976676967154,0.0629658357330437,-0.11947861704941182,-0.08034278785814036,-0.053814713768632734,0.017471419100077854,0.02660966393417652,0.057864934136942985,0.012605404286054491,-0.006778084880299974,0.020750907662120843,0.02027771651075673,0.011607347833151281,-0.015405834872798896,0.001702291756261562,-0.027086411068511895,-0.056946214708075815,0.0140217994706954
Kappa1,0.16836864967880777,0.026215712076399566,0.038270388623456095,0.033876113130130565,0.03006178524673753,0.030349604189652338,-0.009760701647592917,-0.05552601123159217,0.053201977063149164,0.006836230221707033,0.05003925259253587,-0.0009078126995372599,-0.016759638671189236,-0.0251624816750258,-0.015314112180333052,-0.017090533874960706,-0.01709366439405577,0.0019343873132598444,0.047979312478450824,-0.03564440351477592
Kappa2,0.14480808994660516,0.11759400570694441,0.0345350441799974,0.05280852104913261,0.09079477756654061,0.03732292369117411,0.027361750436091983,-0.04895818893971801,0.041480410147228496,0.0009563761085119034,0.06747102662598406,-0.009627898285421656,-0.04411388132384353,-0.08914185748726955,-0.018669120828237337,0.019767733603807652,-0.07799482304931007,0.021083763276841617,0.1465475080969863,-0.02059587096755945
Kappa3,0.11072549991797763,0.13021173717083356,0.09245802953014932,0.07029808689236884,0.12498321755713043,0.10082405458049597,0.024248207446502006,-0.09514684730941697,0.08477581290551306,0.01042003536368895,0.13291230490774095,-0.05612821114652706,-0.08284036409178455,-0.12444558251541682,-0.05021819872415563,-0.039895643505235445,-0.0946591935544614,0.030807234548396345,0.09572005553665518,-0.01631914191946924
Chi0,0.1716367365510816,0.007775646568213826,0.020058061962650656,0.03883545239065317,0.004563203468484828,-0.009934196733904856,-0.02755190038547122,-0.030645120866236292,0.035648623801705255,0.01924180016107014,0.01681136251911469,0.003017018347173609,0.009878639602971431,-0.004849663256726262,-0.0006555495847985135,-0.007522812269650514,-0.011202211291538991,-0.0012631709879152853,0.027298682153673703,-0.0266931294401333
Chi1,0.1716931277283896,0.02157302126037207,-0.016659653425386077,0.03348109884911376,0.006720759653519055,-0.03234581112270951,-0.027476810026414288,-0.00416709825015499,0.011076161464544048,0.016550518027990877,-0.0111192681791578,9.639475632718905e-05,0.010203606367465767,-0.011026088925082361,0.008068310290115625,0.014657648930254868,-0.02223305791425373,0.004021010670328798,0.044655027193544555,-0.01119530356475527
Chi0n,0.16932861086712309,0.04280096199779856,-0.016458900453103834,0.021783726313043306,0.0533419707079883,-0.01362947668085167,-0.02990148120347182,-0.01787957986526089,0.013678593692826502,0.007295179804451475,0.04183350722731376,0.0009300917756570665,0.01135706359033417,-0.014597697889991192,0.005647087308621854,-0.011965281286158425,-0.0018215723643322246,0.011803752860371025,0.03100271634224061,-0.02741828731127938
Chi1n,0.16777268633274095,0.040202233285663795,-0.043187324463326,-0.007293986689185325,0.06275476562413848,-0.015827806695499054,-0.04312953358248737,0.0025856641541173423,-0.012166420704539454,-0.011460029778076032,-0.000661095701562528,0.00901208069193515,0.012185682269015922,-0.015420375729557682,0.021367935624561234,0.008695600587239394,-0.006551333552076599,0.00907154490132539,0.03369038321202947,-0.013824366703331006
Chi2n,0.1660083202148526,0.018722825627930303,-0.03539505035408488,-0.03794801860337728,0.067343192625848,-0.018905806248670585,-0.06743091096083764,-0.023902443528237075,0.005281374301184155,-0.009290051383925064,0.0018068312420984338,0.0014428759458216564,0.028574813568785017,-0.002448569602808576,0.027665484517947595,-0.026374330776588448,0.0333234113392023,0.020655057482574873,-0.02004409299627659,-0.022630352420507795
Chi3n,0.15928657589744416,-0.013834933776644104,-0.07926963997467373,-0.0686731572851851,0.04669370901430056,-0.03736212038444998,-0.07026639896201683,0.017537640985932895,-0.04940037256703803,-0.021356045392932368,-0.0708313072144154,0.03183511337431118,0.018728275171617407,0.013609402725434872,0.050275637962263586,0.016269495748299036,0.025692995622704863,-0.0102183132772847,-0.008696446705996973,-0.00039488103150888874
