,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
RingCount,0.12354167314589364,-0.0772314386340765,-0.15747464358118526,-0.03388719112631289,-0.06981035065521586,-0.10168606316150453,-0.04918584633397105,0.09691199016240169,-0.0812736603920596,-0.0020404230540548296,-0.13125762658713225,-0.010526318813693786,0.0020145717603681362,0.0826000158752502,-0.028040736214972897,0.051669628076956596,0.10238706285475718,-0.0007350528345818619,0.08052488101149785,0.003905810467755566
Ipc,0.02501845173329242,0.027752983682595628,0.04684727275822232,-0.0014594943944362775,0.06159821387422184,-0.029986655132182093,0.019718051864776653,-0.04807648802968849,0.12063525493534438,0.17245178535292044,0.11952717703034055,0.11110388493209977,0.031424881135906274,-0.015385925639507608,0.35698480801126603,-0.09517788058476744,0.6304027374849036,0.4497159573249892,-0.09054934751874194,-0.05597931570024425
HallKierAlpha,-0.07263666782708018,-0.08631100272436878,-0.07825548042708774,-0.19084385647074742,0.021729500443249748,0.23384733087327492,0.08931279234389972,-0.0640719480893796,0.0014904837202096566,-0.13516779419095076,0.0353611989012762,0.0026305027962857386,0.1034708751055465,-0.03513318296383443,-0.018608910517273904,-0.028351150182141273,-0.04074251491432518,0.10801110846647355,-0.03405865383857663,-0.15048641650806
NumValenceElectrons,0.17285832598302245,0.0059808999426105534,0.0023706538701380427,0.02540055684929933,0.024856688947431947,0.0031069920097621354,-0.018056075644075225,-0.01810405820432368,0.021848509858183263,0.006653458980341698,0.00823402271992163,-0.0010928612039874386,-0.008693371955922208,-0.009663672859829692,0.00648018793181393,-0.002896090284202884,-0.01679652708726971,-0.0028166012884882907,-0.014238328420095415,0.01593412382201448
SaturatedRings,0.06701348782689709,-0.12925001071281814,-0.015477896884476115,-0.2417738094039488,0.05663109753359884,-0.07355746349621384,-0.03257920664297901,-0.051646255401335224,-0.1531246016184893,-0.04484493965567232,-0.16636426295600315,-0.009634615656195944,-0.02456225299054643,0.04277198621847368,-0.028030641644072568,0.04450084679448609,0.12094886541485317,-0.05832917798630686,-0.02296213630574396,0.039178659000582705
AliphaticRings,0.09601931015725244,-0.11650728426012523,-0.08086650089697586,-0.20651303521841113,0.04240190551876479,-0.0011324122789862045,0.013862141972627338,-0.003731115930255345,-0.1483416407390888,-0.04230063953703411,-0.17779003194876636,-0.022225297784779607,-0.009230524179158497,0.055955067765180694,-0.017051609250824454,0.0687567358510778,0.11236273338794377,0.007790353423532778,0.0274545028088127,0.045145310016270646
AromaticRings,0.05883419913881655,0.0339008149080281,-0.12696004765038454,0.20933311982590727,-0.1542061396248559,-0.14591026806735646,-0.08860976412371864,0.14507959439278073,0.06788177533535344,0.049978763735860854,0.03231446094127732,0.012561731059842013,0.014469880810434765,0.04965246734207848,-0.01928830317338892,-0.011180885499604498,0.007732282584411776,-0.010813826196661047,0.08231152549427202,-0.05083592673828205
FpDensityMorgan1,-0.0993776088435666,-0.164967755724434,-0.002739467943433585,-0.04889724607140217,-0.011471465724238794,-0.10063606844427767,0.14264427206584515,0.06482958347156859,0.2318704934235598,-0.04363529720832329,0.029268042678980033,-0.05872731770336115,-0.02294223673693563,-0.06276721977868072,-0.0834398552427324,0.062331955863142725,0.04324899056627665,0.011311653212251235,-0.04674975626368966,-0.07705312516049959
FpDensityMorgan2,-0.0849529194323543,-0.15397811888675003,-0.0693106246499224,-0.026458717020462433,-0.013253937422322878,-0.15634974298266696,0.16253395649042132,0.12369999304937473,0.22841959010420348,-0.05559467157008849,0.06334220066503665,-0.07570129101635836,-0.05583422574147753,-0.08425307585017561,-0.08301503900759409,0.023958939740249367,0.06300672229862997,-0.019591395550797003,-0.05299655294807709,-0.03029925235590586
FpDensityMorgan3,-0.06761827128442344,-0.1171340531438266,-0.13236597073611084,-0.002957926971228444,-0.01891683528294176,-0.17713540375737707,0.17365599771612938,0.18645459387975172,0.15602471215071242,-0.054771063535081634,0.07778131111787039,-0.09308630961928643,-0.08119497450380764,-0.093922714440519,-0.047034258574161825,0.004334467013431535,0.10083843090902594,-0.04697294862222842,-0.042679371297187296,0.025884082812460026
