,smiles,IC50,pchembl,type,ID
314,CC(C)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(C)cc2)C(F)(F)F)C(=O)NCC#N,282.0,6.55,IC50,CHEMBL208278
360,CC(C)C[C@H](NC(=O)c1cc2ccccc2n1C)C(=O)N[C@@H](COCc3ccccc3)C#N,47.0,7.33,IC50,CHEMBL208284
335,CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4C(=O)NCc5ccccc45)c6ccc(cc6)C(F)(F)F,48.0,7.32,IC50,CHEMBL208344
359,CC(C)C[C@H](NC(=O)Cc1[nH]cnc1C)C(=O)N[C@@H](COCc2ccccc2)C#N,130.0,6.89,IC50,CHEMBL208359
315,CC(C)C[C@H](N[C@@H](c1ccc(cc1)c2cc(F)cc(F)c2)C(F)(F)F)C(=O)NCC#N,249.0,6.6,IC50,CHEMBL208481
394,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc1ccccc1)NC(=O)C)\C=C\S(=O)(=O)C,12000.0,4.92,IC50,CHEMBL209243
125,CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)N3CCN(C)CC3,3931.0,5.41,IC50,CHEMBL2111806
1309,Fc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC(C#N)c4ccccc4,258.0,6.59,IC50,CHEMBL2164669
1310,COc1ccccc1C(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N3CCN(Cc4ccc(F)cc4)CC3)C#N,76.0,7.12,IC50,CHEMBL2164670
1344,CN(C)C(=O)[C@@H]1CCCC[C@H]1C(=O)NCC#N,3700.0,5.43,IC50,CHEMBL2164671
1343,O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N2CCCCC2,2110.0,5.68,IC50,CHEMBL2164672
1341,O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N2CCc3ccccc3C2,515.0,6.29,IC50,CHEMBL2164674
1340,CN1CCN(CC1)C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N,2070.0,5.68,IC50,CHEMBL2164675
1339,O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N2CCN(CC2)c3ccccc3,1030.0,5.99,IC50,CHEMBL2164676
1338,Fc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NCC#N,3360.0,5.47,IC50,CHEMBL2164677
1347,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)noc5c4,807.0,6.09,IC50,CHEMBL2169908
1369,Fc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1680.0,5.78,IC50,CHEMBL2171984
