,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
Ipc,0.050519810120663124,0.11734329375617844,-0.018622856565153962,-0.03451312973183669,-0.007395368972801231,0.11231431989053933,-0.005384774526914882,-0.017719392408950707,0.047857393188266054,0.19589603634202113,-0.041421417206258165,-0.11249122826433558,-0.11965463673863774,-0.009254905822076595,0.0011403451981775031,0.06756915935748378,0.078007000911476,-0.1511425196043714,0.11699838369682748,0.7189002409943674
HallKierAlpha,-0.14717815426680478,-0.04444774060760885,-0.11984113178696564,0.06390681186007129,-0.01823150395884552,-0.09265730229725612,0.00037575928271965653,-0.0481507777417928,0.021329433246324456,-0.11280649459622749,-0.05960698548052376,0.1105879189634177,-0.04242639489838939,-0.038296335723300774,-0.05558626627778526,-0.027249193979227815,-0.1408312231914846,0.02097720855496673,0.11322396250511724,-0.010757558658828471
NumValenceElectrons,-0.02568101325709849,0.21048720418725964,0.04742419083542537,-0.028230560162338467,0.006685740828254753,-0.006104041279587573,0.027878947568436563,0.015999616286501626,-0.008318998795967564,0.026136868435300595,0.03605809149447095,-0.010253636163438141,-0.014442415901195868,0.009029754837449118,-0.004988892836005426,0.01726917561700725,-0.011587902398968244,-0.0012351379155610565,0.00645429188898794,-0.03184972561231203
SaturatedRings,-0.11708430372579702,0.06285616958197185,0.007900262575558543,0.18255771801158321,0.09840218618836333,0.10192869340555513,-0.13837703915675093,-0.019474460843662972,0.08775796382998434,-0.1644196642725564,-0.013065776737278462,0.016855090926663322,0.026271145722447375,-0.02260109004315293,-0.042215529836427484,-0.04257458907066511,-0.044739031743715296,0.10309253790698844,-0.04370409669918519,-0.09277586893154893
AliphaticRings,-0.10692830586912581,0.0511633975436344,-0.036780317586185045,0.16891808078241305,0.17524598957182164,0.18363950094037682,-0.12949854222174928,0.03666403935346729,0.15535317007072713,-0.11223673606613696,-0.022012071082738865,-0.06848843408284655,-0.027609402129907562,0.0031067790488538277,0.03145841674739905,-0.027556962573769772,-0.09732378410915936,0.04059086096347994,-0.08171950759882812,0.007511489299881463
AromaticRings,0.1608734009241053,0.03506818349341147,-0.011603567018554159,-0.1045043942193484,-0.10189438411550301,0.056788265919595245,-0.024232753258867944,-0.0015862247242013072,0.030098642027832412,0.05497943735977494,0.03166177305347245,-0.04059216854414487,0.02281127136093062,-0.0010022756600017516,-0.02015377673750325,0.007827371482870132,0.037226216630474984,-0.08430527018561017,0.04141429170001926,-0.05378468479210799
FpDensityMorgan1,-0.10864945889917303,-0.09949755047106769,0.08690942996102664,-0.05942461596349973,0.0897754448405474,-0.018287405063637265,0.17447330036507033,-0.11158607584946655,0.06474846238338794,0.16763708654906503,-0.08889537605401326,0.030924866153975883,-0.005850729968476076,0.01804197727749085,0.1915648118787222,-0.03156372393347118,-0.16574095096600946,-0.020862748937724905,0.09489311916762005,-0.06773806180755743
FpDensityMorgan2,-0.0533357171438269,-0.12772001363415603,0.07654950330762769,-0.06531036536745198,0.1580720376650082,0.09426761515370806,0.11949744989817637,-0.0757820653323742,0.06641003266742071,0.26129427409037675,-0.12731542132355755,0.026077832402435663,-0.04161389412531252,0.02288909288479471,0.23666725261850652,-0.11814303346908495,-0.19038938315242054,-0.05702106759654436,0.14319313514995086,-0.11634455018405113
FpDensityMorgan3,0.007439476897099,-0.1384182356419084,0.06777977199069903,-0.05002618479810496,0.16546503521226627,0.16073075857057414,0.06828752710563096,-0.03442134092207944,0.06773791686739414,0.25513449027808555,-0.11952211504270799,0.03834289586285117,-0.057301658444635806,0.02279826795439341,0.19712552829732488,-0.1542594678949779,-0.17171047973212855,-0.059622285793365135,0.17161893406309467,-0.10832812935187064
MaxAbsPartialCharge,-0.08938126763650786,0.036004538471482474,0.07765946844169773,-0.08523703931689512,-0.08983160381881417,0.17084175693025197,0.26468198237362683,0.18745905643808805,-0.12106591442783779,-0.1253549856994503,-0.18990731611103434,-0.13360670050242532,0.03072142708657416,-0.05528438514097073,0.018758419168864587,-0.0655295986704399,0.0738546531764942,0.08914751049412703,-0.056305674609823865,0.015713127157796714
