smiles,IC50
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)C(=O)N4CCCC4)c5ccc(c(SCC(=O)N6CCCC6)c5)C(F)(F)F,280
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4C(=O)COc5ccccc45)c6ccc(c(SCC(=O)N7CCOCC7)c6)C(F)(F)F,10
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccc4F)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F,3130
COc1ccccc1C2CCN(CC(O)Cn3nc(c4CN(CCc34)S(=O)(=O)C)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F)CC2,190
CCCNCC(O)Cn1nc(c2CN(CCc12)S(=O)(=O)C)c3ccc(c(SCCN4CCCCC4)c3)C(F)(F)F,595
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F,380
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCC(=O)NCc6ccccc6)c5)C(F)(F)F,10000
CN1CCN(CC1)C(=O)CSc2cc(ccc2C(F)(F)F)c3nn(CCCN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C,740
CNC(=O)CSc1cc(ccc1C(F)(F)F)c2nn(CCCN3CCC(CC3)N4CCCC4=O)c5CCN(Cc25)S(=O)(=O)C,1150
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCC(=O)N6CCCCC6)c5)C(F)(F)F,3920
CN(C)C(=O)CSc1cc(ccc1C(F)(F)F)c2nn(CCCN3CCC(CC3)N4CCCC4=O)c5CCN(Cc25)S(=O)(=O)C,520
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F,20
CC1CCCN1C(=O)CSc2cc(ccc2C(F)(F)F)c3nn(CCCN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C,100
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCC(=O)N6CCC(O)C6)c5)C(F)(F)F,90
CC1CCN(CC1)C(=O)CSc2cc(ccc2C(F)(F)F)c3nn(CCCN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C,8000
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCC(=O)N6CCC(CO)CC6)c5)C(F)(F)F,120
CC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)C(C)(C)O)c4ccc(c(SCC(=O)N5CCCC5)c4)C(F)(F)F,110
CC1CCN(CC(O)Cn2nc(c3CN(CCc23)C(=O)C)c4ccc(c(SCC(=O)N5CCCC5)c4)C(F)(F)F)CC1,180
COc1ccccc1C2CCN(CC(O)Cn3nc(c4CNCCc34)c5ccc(c(SCC(=O)N6CCCC6)c5)C(F)(F)F)CC2,120
COc1ccccc1C2CCN(CC(O)Cn3nc(c4CNCCc34)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F)CC2,190
COc1ccccc1C2CCN(CC(O)Cn3nc(c4CN(CCc34)C(=O)C)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F)CC2,900
COc1ccccc1C2CCN(CC(O)Cn3nc(c4CN(CCc34)C(=O)CO)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F)CC2,10
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCC(=O)N6CCCC6)c5)C(F)(F)F,1970
OC(CN1CCCCC1)Cn2nc(c3CNCCc23)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,9600
CCCSc1cc(ccc1Cl)c2nn(CCCN3CCOCC3)c4CCN(Cc24)S(=O)(=O)C,3600
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(Cl)c(SCCOc5ccccc5)c4,600
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(c(SCCOc5ccccc5)c4)C(F)(F)F,740
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCOc6ccccc6)c5)C(F)(F)F,220
CS(=O)(=O)C1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCO)c5)C(F)(F)F,200
CN(CCSc1cc(ccc1C(F)(F)F)c2nn(CCCN3CCC(CC3)N4CCCC4=O)c5CCN(Cc25)S(=O)(=O)C)Cc6ccccc6,2010
